path,component_fake,file_fake,component_present
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\dorothy_and_wizard_oz_06_f000040.wav,0.3617520332336426,0.3191586136817932,0.16913652420043945
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\dorothy_and_wizard_oz_12_f000027.wav,0.37655866146087646,0.339092493057251,0.1598791778087616
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\emerald_city_of_oz_09_f000109.wav,0.4394941031932831,0.4077824354171753,0.151418998837471
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\emerald_city_of_oz_10_f000117.wav,0.35623177886009216,0.3164423406124115,0.45796719193458557
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\emerald_city_of_oz_12_f000086.wav,0.4389740824699402,0.38911011815071106,0.2115629017353058
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\emerald_city_of_oz_22_f000076.wav,0.5983592867851257,0.57993483543396,0.11214803159236908
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\emerald_city_of_oz_29_f000057.wav,0.612352728843689,0.580682098865509,0.060595154762268066
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\hunters_space_02_f000038.wav,0.36935412883758545,0.31692981719970703,0.09723727405071259
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\hunters_space_12_f000054.wav,0.6437384486198425,0.6165820956230164,0.08192716538906097
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\jane_eyre_01_f000012.wav,0.3144254684448242,0.25973984599113464,0.08568718284368515
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\dorothy_and_wizard_oz_03_f000061.wav,0.5264180898666382,0.4734921455383301,0.1244952380657196
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\dorothy_and_wizard_oz_11_f000069.wav,0.19410866498947144,0.15325050055980682,0.4144366383552551
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\emerald_city_of_oz_10_f000012.wav,0.12848231196403503,0.10301648080348969,0.5348138213157654
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\emerald_city_of_oz_10_f000046.wav,0.18376244604587555,0.1458713561296463,0.42845460772514343
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\emerald_city_of_oz_10_f000072.wav,0.1706642061471939,0.12014507502317429,0.12842300534248352
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\emerald_city_of_oz_14_f000041.wav,0.38258928060531616,0.34788671135902405,0.16736145317554474
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\emerald_city_of_oz_23_f000030.wav,0.16050907969474792,0.1273377239704132,0.5313568115234375
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\emerald_city_of_oz_29_f000051.wav,0.10331463813781738,0.07906964421272278,0.7170032858848572
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\jane_eyre_03_f000165.wav,0.5911957025527954,0.5412608981132507,0.20736029744148254
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\jane_eyre_03_f000179.wav,0.4807965159416199,0.42983776330947876,0.23017948865890503
data\raw\public_v9\mlaad_tiny\fake\en\Edge-TTS\emerald_city_of_oz_06_f000048.wav,0.20852765440940857,0.17103037238121033,0.38970065116882324
data\raw\public_v9\mlaad_tiny\fake\en\Edge-TTS\emerald_city_of_oz_12_f000118.wav,0.3379793167114258,0.2922406494617462,0.12443065643310547
data\raw\public_v9\mlaad_tiny\fake\en\Edge-TTS\emerald_city_of_oz_19_f000080.wav,0.29994115233421326,0.25494733452796936,0.1239231526851654
