path,y_file_fake,y_voice_fake,y_music_fake,y_voice_present,y_music_present,source,generator,data_role,v7_vf,v7_vfile,v7_vp_model,v7_mf,v7_mfile,v7_mp_model,v9_vf,v9_vfile,v9_vp_model,v9_mf,v9_mfile,v9_mp_model
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\dorothy_and_wizard_oz_06_f000040.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::Cartesia.ai (Sonic-3),val_b_unseen_generator,0.7912576794624329,0.7979656457901001,0.9900355935096741,0.5372101664543152,0.5485857129096985,0.08947671949863434,0.6210108399391174,0.5955513715744019,0.9793961048126221,0.8514130711555481,0.8539744019508362,0.16315597295761108
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\dorothy_and_wizard_oz_12_f000027.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::Cartesia.ai (Sonic-3),val_b_unseen_generator,0.8235677480697632,0.8093061447143555,0.9908140897750854,0.47273409366607666,0.4772656559944153,0.09215083718299866,0.5705519914627075,0.5430678129196167,0.9712009429931641,0.8497011661529541,0.8525552749633789,0.16748280823230743
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\emerald_city_of_oz_09_f000109.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::Cartesia.ai (Sonic-3),val_b_unseen_generator,0.7935765981674194,0.7975025773048401,0.9780162572860718,0.5492628216743469,0.5647075176239014,0.11086097359657288,0.5570949912071228,0.5447750687599182,0.8784971833229065,0.8539453148841858,0.8548370003700256,0.1061495915055275
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\emerald_city_of_oz_10_f000117.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::Cartesia.ai (Sonic-3),val_b_unseen_generator,0.7953271269798279,0.7968445420265198,0.977220356464386,0.7063940763473511,0.7132596373558044,0.26043328642845154,0.5030092597007751,0.4882155954837799,0.9478877186775208,0.8034170866012573,0.7955456376075745,0.20028150081634521
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\emerald_city_of_oz_12_f000086.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::Cartesia.ai (Sonic-3),val_b_unseen_generator,0.7403224110603333,0.7437386512756348,0.9342427253723145,0.6347130537033081,0.643545389175415,0.1227286159992218,0.6326180696487427,0.6135021448135376,0.9825609922409058,0.8175349235534668,0.8125571012496948,0.09041152894496918
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\emerald_city_of_oz_22_f000076.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::Cartesia.ai (Sonic-3),val_b_unseen_generator,0.8014615774154663,0.8032416701316833,0.9483029246330261,0.4817678928375244,0.49194541573524475,0.06781259179115295,0.5766898393630981,0.5556726455688477,0.9115790128707886,0.907275915145874,0.9090258479118347,0.11199351400136948
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\emerald_city_of_oz_29_f000057.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::Cartesia.ai (Sonic-3),val_b_unseen_generator,0.7519985437393188,0.7638856768608093,0.9701206684112549,0.5804114937782288,0.5925561785697937,0.04540838673710823,0.6305446028709412,0.6195125579833984,0.988294243812561,0.8670612573623657,0.8673305511474609,0.09716156870126724
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\hunters_space_02_f000038.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::Cartesia.ai (Sonic-3),val_b_unseen_generator,0.787614643573761,0.7568789720535278,0.9848969578742981,0.5074609518051147,0.5108814239501953,0.06122543662786484,0.5959619879722595,0.5681694746017456,0.9829966425895691,0.8349147439002991,0.8365622758865356,0.11441877484321594
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\hunters_space_12_f000054.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::Cartesia.ai (Sonic-3),val_b_unseen_generator,0.736943781375885,0.745899498462677,0.8550904393196106,0.5364641547203064,0.5495091676712036,0.05928763374686241,0.5968968272209167,0.5810885429382324,0.9645354151725769,0.8276056051254272,0.8268454074859619,0.13026805222034454
data\raw\public_v9\mlaad_tiny\fake\en\Cartesia.ai (Sonic-3)\jane_eyre_01_f000012.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::Cartesia.ai (Sonic-3),val_b_unseen_generator,0.7232841849327087,0.7345426678657532,0.9861963391304016,0.44983038306236267,0.44542717933654785,0.055161044001579285,0.5258833765983582,0.512822151184082,0.9806339740753174,0.8121216893196106,0.8149753212928772,0.13801071047782898
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\dorothy_and_wizard_oz_03_f000061.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::DeepGram,val_b_unseen_generator,0.7654205560684204,0.7693389058113098,0.9780973196029663,0.6985312700271606,0.7081699371337891,0.1088518276810646,0.5654205679893494,0.5517885088920593,0.968109667301178,0.8727207183837891,0.8715329170227051,0.10224732011556625
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\dorothy_and_wizard_oz_11_f000069.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::DeepGram,val_b_unseen_generator,0.7534788250923157,0.7530412077903748,0.9544986486434937,0.303020179271698,0.2938913106918335,0.09859253466129303,0.5778582692146301,0.55726557970047,0.9670329093933105,0.8112550973892212,0.8117845058441162,0.23541943728923798
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\emerald_city_of_oz_10_f000012.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::DeepGram,val_b_unseen_generator,0.757781982421875,0.7647491097450256,0.9824655055999756,0.3053056597709656,0.2994650602340698,0.17759090662002563,0.5321621894836426,0.5234451293945312,0.9663056135177612,0.6926270723342896,0.7005860209465027,0.289298415184021
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\emerald_city_of_oz_10_f000046.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::DeepGram,val_b_unseen_generator,0.7467849850654602,0.7564482092857361,0.9752150774002075,0.26531627774238586,0.2560631036758423,0.1455233246088028,0.5874545574188232,0.5772823095321655,0.9762911796569824,0.7716025114059448,0.7754045724868774,0.26958587765693665
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\emerald_city_of_oz_10_f000072.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::DeepGram,val_b_unseen_generator,0.6421647667884827,0.6686643362045288,0.9662187695503235,0.31953296065330505,0.2965487241744995,0.0567573718726635,0.5049053430557251,0.4933176338672638,0.9812730550765991,0.7119324803352356,0.7168304920196533,0.15456776320934296
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\emerald_city_of_oz_14_f000041.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::DeepGram,val_b_unseen_generator,0.793695330619812,0.7978471517562866,0.987117350101471,0.5460591912269592,0.5596827864646912,0.11888161301612854,0.5671094059944153,0.5564513802528381,0.9625547528266907,0.8264741897583008,0.8293648362159729,0.15629826486110687
data\raw\public_v9\mlaad_tiny\fake\en\DeepGram\emerald_city_of_oz_23_f000030.wav,1,1,0,1,0,mlaad_tiny_matched,MLAAD::DeepGram,val_b_unseen_generator,0.744249165058136,0.7541936635971069,0.9608807563781738,0.2790524363517761,0.27498260140419006,0.1765054166316986,0.5725084543228149,0.5597037672996521,0.971123456954956,0.8114646077156067,0.8128744959831238,0.24442028999328613
