row_index,path,v7_file_logit,v7_component_logit,v7_presence_logit,v9_component_logit
0,C:\Users\lLrich\ai_voice_data_v12\files\3e7eafd5865611855d919f255606cb1e7f1f501b6a06f0e76e487f541e25e71b.flac,-0.31052350997924805,-0.26315081119537354,-2.7007477283477783,1.125584363937378
1,C:\Users\lLrich\ai_voice_data_v12\files\00d9572c4db34a91f769047d9518fc84d00f7989f26fe18dc9e4dcf5366a7232.flac,0.6969354748725891,0.6693963408470154,-1.627105474472046,1.6950840950012207
2,C:\Users\lLrich\ai_voice_data_v12\files\917f2fbf78b949bfd962a84b64d092108e486f29e460f65335c011103c13ba43.flac,-0.510593593120575,-0.44694092869758606,-2.8073997497558594,0.933699369430542
3,C:\Users\lLrich\ai_voice_data_v12\files\2be61d526e2efce25c55d02e2c641f7798b687167e4e59135d42069835918081.flac,-1.9688959121704102,-1.9634286165237427,0.10883461683988571,-0.4067394733428955
4,C:\Users\lLrich\ai_voice_data_v12\files\2d6ebc5a5e6f9487cb01e02a81d8e0f74ceadc0fb29853460c77bf2f4643ead5.flac,-1.1907188892364502,-1.139505386352539,-1.9216097593307495,0.9609532356262207
5,C:\Users\lLrich\ai_voice_data_v12\files\e8a5d385eeda27aee4abfacad14941139343a69e6a5f714576dcaa23b38ceebf.flac,-0.2019127607345581,-0.20580454170703888,-2.3726611137390137,1.276515007019043
6,C:\Users\lLrich\ai_voice_data_v12\files\0082c1c14416ac468de7136613c6390aee57e9c1e315488b2cb1edc556e2e001.flac,1.2887009382247925,1.2561146020889282,-1.458754062652588,1.6779627799987793
7,C:\Users\lLrich\ai_voice_data_v12\files\8f5bd2fe1d7f9a539adb09bbe56b892a777a4bf2a01792b2fbaef6fddc80cd49.flac,-1.8256263732910156,-1.8132386207580566,-0.044938672333955765,0.7806237936019897
8,C:\Users\lLrich\ai_voice_data_v12\files\9100b854ae0c12b24de379e174e08c01355b48f132be6465e68a2ce374352e23.flac,-2.7088983058929443,-2.5512194633483887,-0.9965364336967468,0.37143775820732117
9,C:\Users\lLrich\ai_voice_data_v12\files\237b2f5ffb6d1dcd164a30765671f4847d3875bfc67de356b4382b4f10528c82.flac,-1.507799744606018,-1.477730393409729,-0.820615291595459,1.09014093875885
10,C:\Users\lLrich\ai_voice_data_v12\files\a14c753e2525bcb17b573d4aa56e1e64ba60dd9730000da719500b8c1135ad7b.flac,0.33057305216789246,0.26838767528533936,-2.1766631603240967,1.5456559658050537
11,C:\Users\lLrich\ai_voice_data_v12\files\398a08d40b5acb32981fd1f2e20a60b305c6881d04b69d1e0e87401ba47fb374.flac,-0.07624688744544983,-0.09715110808610916,-2.1132333278656006,1.503844141960144
12,C:\Users\lLrich\ai_voice_data_v12\files\b300bc2cb3cb327bb128c84c8d4525c05c0cb9c2087dbdb39d63aa05c6b7cf84.flac,0.5165234804153442,0.48389822244644165,-2.235257625579834,1.1825413703918457
13,C:\Users\lLrich\ai_voice_data_v12\files\7e70465cb233a6981848002f2cf85fcfda1d204fa240ad2c15d29933839d328b.flac,-0.5290908217430115,-0.5533021092414856,-1.1794074773788452,0.9415740370750427
14,C:\Users\lLrich\ai_voice_data_v12\files\62731c32ccf857141e3cf11fdc68f1146eba70cbcb6a4b6af0e56d0175d95db2.flac,0.22709062695503235,0.20094403624534607,-1.8277555704116821,0.938723623752594
15,C:\Users\lLrich\ai_voice_data_v12\files\fc56d8277b53100e90758dc730315d5487cfc207b0070307bd5a2633bef4ec76.flac,-2.3718740940093994,-2.3486146926879883,-0.23271621763706207,0.5522579550743103
16,C:\Users\lLrich\ai_voice_data_v12\files\ecdc1903dd77ffac9dc6f49103689b8fbc42639885c96ca68ac13dd18cbc57a6.flac,0.76862633228302,0.7322162985801697,-1.821284294128418,1.0844521522521973
