task,epoch,split,train_loss,file_eer,voice_eer,music_eer,voice_auc,music_auc,ads,cps,score,total
voice,1,val_a,0.6273971976136132,0.525366378005208,0.41788819087505547,0.3473780437131222,0.9441296065059392,0.09525019050038099,0.5495257597084482,0.5196898985031602,0.5465421735879195,0.5465421735879195
voice,1,val_b,0.6273971976136132,0.41804613297150606,0.4846008054963279,0.36363636363636365,0.9163405958203645,0.12430830039525692,0.5849658633240723,0.5203244481078108,0.5785017218024462,0.5785017218024462
voice,1,val_c,0.6273971976136132,0.5158132986132138,0.42358334919728413,0.34999584476024265,0.9460986776806583,0.08844862134168713,0.5523779274258634,0.5172736495111727,0.5488674996343944,0.5488674996343944
voice,1,val_d,0.6273971976136132,0.44449070429358684,0.39268037312012183,0.3657857558381119,0.9348765728556334,0.11156266756977959,0.5894828464777486,0.5232196202127065,0.5828565238512444,0.5828565238512444
voice,2,val_a,0.6146220714925862,0.525366378005208,0.4512183514182372,0.5868445109282805,0.9520859347485032,0.07072503033894957,0.4710197874352644,0.5114054825437264,0.4750583569461106,0.4750583569461106
voice,2,val_b,0.6146220714925862,0.42480777928539126,0.4538024164889837,0.6165223665223665,0.9375500222321032,0.07610891523935003,0.5118789171027978,0.5068294687357265,0.5113739722660906,0.5113739722660906
voice,2,val_c,0.6146220714925862,0.5158132986132138,0.44552319309600863,0.5868445109282805,0.9531425095251816,0.06920102729094348,0.4769353587957072,0.5111717684080626,0.48035899975694274,0.48035899975694274
voice,2,val_d,0.6146220714925862,0.4841867013867862,0.4317056919855321,0.6500041552397573,0.9431370665642108,0.08387661219766884,0.47656426433757326,0.5135068393809399,0.4802585218419099,0.4802585218419099
voice,3,val_a,0.6054010541318989,0.403311027675165,0.4430960086299892,0.38157566691598105,0.9574968783017963,0.05006632235486694,0.5952525843616253,0.5037816003283316,0.5861054859582959,0.5861054859582959
voice,3,val_b,0.6054010541318989,0.3812075983717775,0.4269722814498934,0.5256132756132756,0.9440751445086706,0.06646903820816864,0.5663177618401498,0.5052720913584197,0.5602131947919768,0.5602131947919768
voice,3,val_c,0.6054010541318989,0.41434778659238175,0.42358334919728413,0.38157566691598105,0.9577370089328595,0.04962887703553186,0.593636736789558,0.5036829429841957,0.5846413574090218,0.5846413574090218
voice,3,val_d,0.6054010541318989,0.3786864894325683,0.44552319309600863,0.3841934679631015,0.9511734383504626,0.05658566872689302,0.6062940762755836,0.5038795535386779,0.5960526240018931,0.5960526240018931
voice,4,val_a,0.6039719307165352,0.5364031369224247,0.4707310108509423,0.5552646887725422,0.9586174879134248,0.04835887449552677,0.4710728227368365,0.5034881812044758,0.4743143585836004,0.4743143585836004
voice,4,val_b,0.6039719307165352,0.4665422885572139,0.44610281923714756,0.5883838383838383,0.9461093819475322,0.055270092226613964,0.500993140358812,0.5006897370870731,0.5009628000316382,0.5009628000316382
voice,4,val_c,0.6039719307165352,0.5294010779385938,0.46260866806269435,0.5552646887725422,0.9585694617872123,0.047977873733525245,0.47619832078640156,0.5032736677603687,0.4789058554837983,0.4789058554837983
voice,4,val_d,0.6039719307165352,0.4841867013867862,0.43740085030776066,0.5552646887725422,0.9541830755931228,0.051999548443541335,0.5038470726132921,0.503091312018332,0.503771496553796,0.503771496553796
voice,5,val_a,0.5965831078213754,0.5047765396959971,0.43740085030776066,0.4763151333831962,0.9553677200397016,0.05278977224621116,0.5172370200754904,0.5040787461429563,0.515921192682237,0.515921192682237
voice,5,val_b,0.5965831078213754,0.4432270465852556,0.4269722814498934,0.49422799422799424,0.9382836816362827,0.06253842775581907,0.5447236221489953,0.5004110546960508,0.5402923654037008,0.5402923654037008
voice,5,val_c,0.5965831078213754,0.5047765396959971,0.44552319309600863,0.489487243413945,0.9563282425639548,0.054948776564219814,0.5116609185086162,0.5056385095640873,0.5110586776141632,0.5110586776141632
voice,5,val_d,0.5965831078213754,0.4691152425361836,0.4512183514182372,0.5078949555389346,0.9499887939038838,0.058025004938898776,0.5228302217865805,0.5040068994213913,0.5209478895500615,0.5209478895500615
voice,6,val_a,0.590238054021657,0.5514745957730273,0.495938828605876,0.5526468877254218,0.9598501584862165,0.04174075014816697,0.45928087007468466,0.5007954543171917,0.46343232849893534,0.46343232849893534
voice,6,val_b,0.590238054021657,0.5101424694708276,0.43467187870172946,0.5883838383838383,0.9411960871498443,0.05731225296442687,0.48147923800908876,0.49925417005713557,0.48325673121389345,0.48325673121389345
voice,6,val_c,0.590238054021657,0.5404378368558106,0.4764261691731709,0.5552646887725422,0.9590977491755515,0.0447323116868456,0.46791644110569786,0.5019150304311986,0.4713163000382479,0.4713163000382479
voice,6,val_d,0.590238054021657,0.5047765396959971,0.4764261691731709,0.5710545998504113,0.9511094035155124,0.04890920892952898,0.4810101163622439,0.5000093062225207,0.4829100353482716,0.4829100353482716
