audio_id,dataset,generator,music_fake,test5_music_probability,artifactnet_median,artifactnet_mean,artifactnet_max,artifactnet_top2_mean,artifactnet_highest_energy_one_crop
a3c5fe1daa7be638cf472d932e15a2aa412ebb74d842aa2ebb486efdcb1ad0d6,echoes_fma_paired,Echoes::FMA_original,0,6.006012398529492e-08,1.6987323760986328e-06,9.765227635701498e-06,2.73287296295166e-05,1.4513731002807617e-05,1.6987323760986328e-06
a9410c087230a779f5bc93e971362c46e6539b651ea7c55ff9498e98fb50ae8e,echoes_fma_paired,Echoes::songgen,1,0.037001701071858406,0.9999457597732544,0.999932865301768,0.9999818801879883,0.9999638199806213,0.9999457597732544
252a53c879a8ef17ac01c6708c580a598479c003d1287893e5438639b4680853,echoes_fma_paired,Echoes::FMA_original,0,2.0010255411762046e-05,0.9976009130477905,0.9980952541033427,0.9994361400604248,0.9985185265541077,0.9994361400604248
188d8cd651019eae8d0bf5cb13eeef63c99f429c711744699eb42846b71f2616,echoes_fma_paired,Echoes::songgen,1,0.3893730342388153,0.9971259832382202,0.9931207100550333,0.998100757598877,0.9976133704185486,0.9841353893280029
2c081bdc189ccb0026b5b1e3d26ded25face9a85fc31af5ea14b3cca67203c55,echoes_fma_paired,Echoes::FMA_original,0,1.2105712357879383e-05,0.8140137195587158,0.6510380009810129,0.9954071044921875,0.9047104120254517,0.14369317889213562
9d42708664617777d6daa91a578dab9500e6d55e5635369e5349415c3cf46204,echoes_fma_paired,Echoes::songgen,1,0.2561299055814743,0.9979467988014221,0.6666083335876465,0.9999868869781494,0.9989668428897858,0.9979467988014221
24d8a926ef279df5a9c752bda067d42bc267c548f850ac07d5cb54aaf839c24b,echoes_fma_paired,Echoes::FMA_original,0,1.4068596925653765e-05,0.0001761913299560547,0.03551831841468811,0.10628747940063477,0.05323183536529541,0.10628747940063477
05f8704cf5e717f25240d07cc2694a5f996a1ce117031e83d0735dda5ec4a1e5,echoes_fma_paired,Echoes::songgen,1,3.2766312187959556e-06,0.9544057846069336,0.7268141110738119,0.9589500427246094,0.9566779136657715,0.9544057846069336
fa1ff3b0bc812f9a9e7c1e710f746d1cd81219acfab2fcd65a9eed46b4082c55,echoes_fma_paired,Echoes::FMA_original,0,1.644038707127038e-05,0.000361025333404541,0.00030820568402608234,0.0005299150943756104,0.0004454702138900757,0.000361025333404541
22f19ebe8a5ff586d4e0bf103ab026c62b1f3b1509f4c3a5832585b309332080,echoes_fma_paired,Echoes::stableaudio,1,0.004286780633265153,0.9981145858764648,0.9834986130396525,0.9998815059661865,0.9989980459213257,0.9998815059661865
2694c18ad02610e545f541abc88723036150b80fadced8918fd2a4def01f7a94,echoes_fma_paired,Echoes::FMA_original,0,0.0013057939941063523,0.2808418571949005,0.23900799949963888,0.4344893991947174,0.35766562819480896,0.001692742109298706
cfa38d1ac6bcadb51d376b02aa23258a7bb095b69909301f9c5e091e7384a2d8,echoes_fma_paired,Echoes::songgen,1,0.0034086492378264666,0.9994907379150391,0.9995465675989786,0.999791145324707,0.999640941619873,0.999791145324707
984f735a64fe11eff86a0d20ee281afe7e4c724937888b7ece5e95d4d6b3f5a2,echoes_fma_paired,Echoes::FMA_original,0,9.272114596114989e-07,0.0018448829650878906,0.2843327323595683,0.8511282801628113,0.4264865815639496,2.5033950805664062e-05
f64f2b46b4fdf346e1932318f8fc6d10a2c17629dbb38f965023b48010e97b84,echoes_fma_paired,Echoes::songgen,1,0.06778958719223738,0.9998898506164551,0.9998731811841329,0.999957799911499,0.999923825263977,0.9998898506164551
f49409677fe1d374c2f4167a1dfbde43d85be3f168b615aa2192099ba350e0bf,echoes_fma_paired,Echoes::FMA_original,0,2.943274887701186e-09,0.2737177908420563,0.4322457214196523,0.9848549365997314,0.6292863637208939,0.9848549365997314
f2c0bfbc1e674cdfa477551c6b4f0a427ae4b0e84c97f623ceef365383934e44,echoes_fma_paired,Echoes::songgen,1,0.0014022234827280045,0.9911834001541138,0.9909992615381876,0.9993758201599121,0.9952796101570129,0.9911834001541138
fdd638fcabaff98a249d53bfb1f39b178691be13486db61f37e0a50327f2b0f2,echoes_fma_paired,Echoes::FMA_original,0,0.00021144436686881818,6.586313247680664e-06,2.446770668029785e-05,6.42538070678711e-05,3.542006015777588e-05,6.586313247680664e-06
42a8f747fedd755a35949b9f01b3d73149a2c1b327408fc8f684393e2fa7507a,echoes_fma_paired,Echoes::songgen,1,0.004638242768123746,0.9999282658100128,0.9999282658100128,0.9999464750289917,0.9999282658100128,0.9999464750289917
1c4852b19e735b3d2f6234d3313c39bbddec1a2f70c0bdcb04b44d6bff2cede9,echoes_fma_paired,Echoes::FMA_original,0,5.259174997718219e-07,0.06330874562263489,0.3013574282328288,0.8077777624130249,0.4355432540178299,0.06330874562263489
f7b694fe79ee207cd5d3a7cbca4f382f8fc1102f92809f87d1d22b50691e3f74,echoes_fma_paired,Echoes::stableaudio,1,1.083662439782529e-07,0.9966740608215332,0.9928325215975443,0.9989643096923828,0.997819185256958,0.9989643096923828
2ce8c45355d24f10e9fb87148ca6bdb6ebd8e97ae9487d979fa3927d8cb2d0ef,echoes_fma_paired,Echoes::FMA_original,0,0.003841572324745357,0.777759313583374,0.8227301438649496,0.9891719818115234,0.8834656476974487,0.7012591361999512
5450a4fdb84b60dbde2fbf52819f907cc72cd61b246ff4029e1ee5d8f1789475,echoes_fma_paired,Echoes::stableaudio,1,0.00397871620953083,0.9985045194625854,0.7610072692235311,0.9999908804893494,0.9992476999759674,0.9999908804893494
51896853aa32543a1abe3c8058b0c9f1d36d4700ebf4ed2cefe72bf99a7a2094,echoes_fma_paired,Echoes::FMA_original,0,3.6126217139553773e-05,0.00011408329010009766,0.0001780092716217041,0.0004055202007293701,0.0002598017454147339,0.0004055202007293701
7052925de59b19424eba76c03d938d7c001ec94badd6476fcb87ca30e27309b4,echoes_fma_paired,Echoes::stableaudio,1,3.573182584659662e-05,0.0818803608417511,0.3474687735239665,0.9589834809303284,0.5204319208860397,0.9589834809303284
f42e4d7e514ca768cc300690939c982576aff43d70ed89d3c998c80e150bc773,echoes_fma_paired,Echoes::FMA_original,0,0.051657215459272265,5.075335502624512e-05,5.075335502624512e-05,5.6743621826171875e-05,5.075335502624512e-05,4.476308822631836e-05
f06b63641602ced6813aa120a500de3d9e489cff83da0d0158f5f7e5ec31d6ad,echoes_fma_paired,Echoes::stableaudio,1,3.7639361413939476e-07,0.9991708397865295,0.9981436729431152,0.9998408555984497,0.9995058476924896,0.9991708397865295
4ae56b8ad4d615109bd3dcb353e0d899e196854fe2a4e9b52e75b69dc99b7163,echoes_fma_paired,Echoes::FMA_original,0,2.096410571539309e-05,2.4437904357910156e-06,5.533297856648763e-06,1.379847526550293e-05,8.121132850646973e-06,2.4437904357910156e-06
2514ac0509a20da17ad0c263e0189f49b11ca29ffb7f54b40cd2a45ce06cdfd4,echoes_fma_paired,Echoes::stableaudio,1,6.791586429244489e-06,0.4111214280128479,0.4797789851824443,0.9941443204879761,0.702632874250412,0.03407120704650879
44c0a562f3962c81e7ae9272a41e740e8e509057d0a20a3390c60dd6cb70efdf,echoes_fma_paired,Echoes::FMA_original,0,0.00014872386236675084,0.9843519926071167,0.9219964742660522,0.9987013339996338,0.9915266633033752,0.9843519926071167
ef73fe3a5cf0a68fb59ac83d18e811ca8baf29061dc3e807d48b7d7c7b035c76,echoes_fma_paired,Echoes::songgen,1,0.0590493893250823,0.9996510744094849,0.9940429528554281,0.9997252225875854,0.9996881484985352,0.9997252225875854
806014a59218e6cae9ad247b4c9d58a912f3d6be8e30b7f5331aab19b515fc51,echoes_fma_paired,Echoes::FMA_original,0,6.333332930807956e-05,0.006608515977859497,0.22394276658693948,0.6604899168014526,0.33354921638965607,0.6604899168014526
ffce689e327b636c095e0a9d985eb422a7642ab79a0b2453636df103f0fa934e,echoes_fma_paired,Echoes::songgen,1,0.0005115621170261875,0.9985261559486389,0.9988506038983663,0.9997393488883972,0.9991327524185181,0.9985261559486389
