label,category,data_role,group,transition_location,duration,peak,rms,silence_ratio,zcr,spectral_centroid,high_frequency_ratio
0,PAIRED_CORE,paired_core,dorothy_and_wizard_oz_08_f000065,nan,4.0,0.442352294921875,0.05453668534755707,0.52715625,0.1092204565696339,1501.7834524198483,0.0021139272179527065
1,PAIRED_CORE,paired_core,dorothy_and_wizard_oz_08_f000065,nan,4.0,0.22869873046875,0.026361333206295967,0.5894375,0.1599243738183409,2471.0972885510564,0.04675895063031592
0,PAIRED_CORE,paired_core,dorothy_and_wizard_oz_14_f000118,nan,4.0,0.2703857421875,0.018421722576022148,0.756484375,0.069251082048157,2464.7543648411684,0.0634290434055656
1,PAIRED_CORE,paired_core,dorothy_and_wizard_oz_14_f000118,nan,4.0,0.359375,0.017635244876146317,0.748796875,0.08226691042047532,2189.822770354351,0.04370536276135896
0,PAIRED_CORE,paired_core,emerald_city_of_oz_07_f000056,nan,4.0,0.453399658203125,0.05574203282594681,0.231046875,0.15695557743089736,1519.0588915169453,0.002246105304603846
1,PAIRED_CORE,paired_core,emerald_city_of_oz_07_f000056,nan,4.0,0.330230712890625,0.05271875485777855,0.126015625,0.11576743386615417,1386.8218281551258,0.002795813921187041
0,PAIRED_CORE,paired_core,emerald_city_of_oz_13_f000060,nan,4.0,0.527984619140625,0.07316914945840836,0.25896875,0.12697073391771746,1387.2018278403145,0.0013782258143971327
1,PAIRED_CORE,paired_core,emerald_city_of_oz_13_f000060,nan,4.0,0.948944091796875,0.08904867619276047,0.08334375,0.10565790090470163,1384.8648804621653,0.00285393275407316
0,PAIRED_CORE,paired_core,hunters_space_07_f000061,nan,4.0,0.64276123046875,0.05599992722272873,0.099953125,0.1315489304520383,2181.9273986985113,0.026657206117866657
1,PAIRED_CORE,paired_core,hunters_space_07_f000061,nan,4.0,0.51763916015625,0.06880100071430206,0.063859375,0.16551821122205035,1581.6511147074464,0.0059384310853183705
0,PAIRED_CORE,paired_core,hunters_space_18_f000010,nan,4.0,0.367401123046875,0.03725477680563927,0.290765625,0.06795418678416851,1499.3096877705811,0.005449955465576101
1,PAIRED_CORE,paired_core,hunters_space_18_f000010,nan,4.0,0.6556396484375,0.06365058571100235,0.125984375,0.1607837622462851,1509.685682753295,0.006610614154468363
0,PAIRED_CORE,paired_core,jane_eyre_05_f000047,nan,4.0,0.462005615234375,0.03699007257819176,0.046890625,0.12359568118251847,1841.0821433236267,0.0140617362997636
1,PAIRED_CORE,paired_core,jane_eyre_05_f000047,nan,4.0,0.831268310546875,0.06707751005887985,0.102375,0.148096064001,1600.880258075614,0.005653455975238187
0,PAIRED_CORE,paired_core,jane_eyre_06_f000021,nan,4.0,0.334686279296875,0.023853009566664696,0.570640625,0.07740745949155456,2020.0188973923769,0.03160488034237627
1,PAIRED_CORE,paired_core,jane_eyre_06_f000021,nan,4.0,0.8492431640625,0.08223693072795868,0.4599375,0.12006437600587509,1460.5403286221324,0.008152490259210459
