split,calibration_fold,source,generator,is_mixed,y_file_fake,y_voice_fake,y_music_fake,y_voice_present,y_music_present,df,df_primary,df_second,df_has_second,df_used,duration_sec,vf,mf,vfile,mfile,vp_model,mp_model,vp_panns,mp_panns
codec_lp52,codec_lp52,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.011246594040303943,0.011246594040303943,,False,True,2.3,0.6821125745773315,0.3686070740222931,0.7035796046257019,0.35336464643478394,0.9854952096939087,0.0947946310043335,0.8838657140731812,0.0360897071659565
codec_lp52,codec_lp52,gtzan_real_v2,GTZAN_genre_1,False,0.0,0.0,0.0,0.0,1.0,0.21513316637999516,0.18405551130627898,0.24621082145371134,True,True,30.013375,0.5956127047538757,6.606025237942958e-08,0.6030811071395874,6.303496036252909e-08,0.7544692158699036,1.0,0.02260114997625351,0.7468319535255432
codec_lp52,codec_lp52,asvspoof2019,bonafide,False,0.0,0.0,0.0,1.0,0.0,0.020798696359610888,0.020798696359610888,,False,True,4.2175,0.722582221031189,0.4684350788593292,0.7334910035133362,0.4711306691169739,0.9814307689666748,0.07827269285917282,0.7501811385154724,0.01737389713525772
codec_lp52,codec_lp52,gtzan_real_v2,GTZAN_genre_5,False,0.0,0.0,0.0,0.0,1.0,0.32527417332071645,0.45977566762234773,0.19077267901908518,True,True,30.013375,0.6567973494529724,0.00016958254855126143,0.6485931873321533,0.00016263981524389237,0.5250312685966492,0.9999723434448242,0.01841103471815586,0.698754072189331
codec_lp52,codec_lp52,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.009874056762520353,0.009874056762520353,,False,True,6.77,0.7113459706306458,0.4965275228023529,0.7149825096130371,0.5062364339828491,0.9251421689987183,0.11265107244253159,0.8309779763221741,0.020559825003147125
codec_lp52,codec_lp52,asvspoof2019,A02,False,1.0,1.0,0.0,1.0,0.0,0.9996989903068809,0.9996989903068809,,False,True,4.6824375,0.7400460243225098,0.41957956552505493,0.7477792501449585,0.4204588532447815,0.9667984843254089,0.06925951689481735,0.7813529372215271,0.018753107637166977
codec_lp52,codec_lp52,gtzan_real_v2,GTZAN_genre_7,False,0.0,0.0,0.0,0.0,1.0,0.3714217363681205,0.39243498124588794,0.350408491490353,True,True,30.0001875,0.7250544428825378,0.00011583042214624584,0.6993620991706848,0.00011171300866408274,0.37999415397644043,0.9997784495353699,0.0279034823179245,0.8166026473045349
codec_lp52,codec_lp52,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.010784081618731943,0.010784081618731943,,False,True,3.625,0.7293288707733154,0.49779805541038513,0.7388598322868347,0.5038081407546997,0.9776999354362488,0.1391802430152893,0.8624378442764282,0.01569475792348385
codec_lp52,codec_lp52,asvspoof2019,A02,False,1.0,1.0,0.0,1.0,0.0,0.999221216509103,0.999221216509103,,False,True,4.198375,0.7211140990257263,0.42584604024887085,0.7327477931976318,0.4229792058467865,0.981745719909668,0.05381375178694725,0.7265830636024475,0.016172701492905617
codec_lp52,codec_lp52,wavefake_ajay,WF6,False,1.0,1.0,0.0,1.0,0.0,0.9969369996179354,0.9969369996179354,,False,True,5.538,0.7800044417381287,0.5174717903137207,0.7863724827766418,0.5306732654571533,0.9833569526672363,0.10017211735248566,0.8276912569999695,0.034240469336509705
